"","x"
"cell197","CD34+CD45RA-CLEC12A-"
"cell198","CD34+CD45RA-CLEC12A-"
"cell199","CD34+CD45RA+CLEC12A-"
"cell200","CD34+CD45RA-CLEC12A-"
"cell201","CD34+CD45RA-CLEC12A-"
"cell202","CD34+CD45RA-CLEC12A-"
"cell203","CD34+CD45RA-CLEC12A-"
"cell204","CD34+CD45RA-CLEC12A-"
"cell205","CD34+CD45RA-CLEC12A-"
"cell206","CD34+CD45RA-CLEC12A-"
"cell207","CD34+CD45RA-CLEC12A+"
"cell208","CD34+CD45RA+CLEC12A-"
"cell209","CD34+CD45RA-CLEC12A-"
"cell210","CD34+CD45RA+CLEC12A-"
"cell211","CD34+CD45RA-CLEC12A-"
"cell212","CD34+CD45RA-CLEC12A-"
"cell213","CD34+CD45RA-CLEC12A+"
"cell214","CD34+CD45RA-CLEC12A-"
"cell215","CD34+CD45RA-CLEC12A-"
"cell216","CD34+CD45RA-CLEC12A-"
"cell217","CD34+CD45RA-CLEC12A-"
"cell218","CD34+CD45RA-CLEC12A-"
"cell219","CD34+CD45RA-CLEC12A-"
"cell220","CD34+CD45RA-CLEC12A-"
"cell221","CD34+CD45RA-CLEC12A-"
"cell222","CD34+CD45RA+CLEC12A-"
"cell223","CD34+CD45RA-CLEC12A-"
"cell224","CD34+CD45RA-CLEC12A-"
"cell225","CD34+CD45RA-CLEC12A-"
"cell226","CD34+CD45RA-CLEC12A-"
"cell227","CD34+CD45RA-CLEC12A-"
"cell228","CD34+CD45RA-CLEC12A-"
"cell229","CD34+CD45RA-CLEC12A-"
"cell230","CD34+CD45RA+CLEC12A-"
"cell231","CD34+CD45RA-CLEC12A+"
"cell232","CD34+CD45RA-CLEC12A-"
"cell233","CD34+CD45RA-CLEC12A-"
"cell234","CD34+CD45RA-CLEC12A-"
"cell235","CD34+CD45RA+CLEC12A-"
"cell236","CD34+CD45RA-CLEC12A-"
"cell237","CD34+CD45RA-CLEC12A-"
"cell238","CD34+CD45RA-CLEC12A-"
"cell239","CD34+CD45RA+CLEC12A-"
"cell240","CD34+CD45RA-CLEC12A-"
"cell241","CD34+CD45RA-CLEC12A-"
"cell242","CD34+CD45RA-CLEC12A-"
"cell243","CD34+CD45RA+CLEC12A-"
"cell244","CD34+CD45RA-CLEC12A-"
"cell245","CD34+CD45RA-CLEC12A-"
"cell246","CD34+CD45RA-CLEC12A-"
"cell247","CD34+CD45RA+CLEC12A-"
"cell248","CD34+CD45RA-CLEC12A-"
"cell249","CD34+CD45RA-CLEC12A+"
"cell250","CD34+CD45RA-CLEC12A-"
"cell251","CD34+CD45RA-CLEC12A-"
"cell252","CD34+CD45RA-CLEC12A-"
"cell253","CD34+CD45RA+CLEC12A-"
"cell254","CD34+CD45RA+CLEC12A-"
"cell255","CD34+CD45RA-CLEC12A-"
"cell256","CD34+CD45RA+CLEC12A-"
"cell257","CD34+CD45RA-CLEC12A-"
"cell258","CD34+CD45RA+CLEC12A-"
"cell259","CD34+CD45RA-CLEC12A+"
"cell260","CD34+CD45RA-CLEC12A-"
"cell261","CD34+CD45RA+CLEC12A-"
"cell262","CD34+CD45RA-CLEC12A-"
"cell263","CD34+CD45RA+CLEC12A-"
"cell264","CD34+CD45RA+CLEC12A-"
"cell265","CD34+CD45RA+CLEC12A-"
"cell266","CD34+CD45RA-CLEC12A-"
"cell267","CD34+CD45RA-CLEC12A-"
"cell268","CD34+CD45RA+CLEC12A+"
"cell269","CD34+CD45RA-CLEC12A+"
"cell270","CD34+CD45RA-CLEC12A-"
"cell271","CD34+CD45RA-CLEC12A-"
"cell272","CD34+CD45RA+CLEC12A-"
"cell273","CD34+CD45RA-CLEC12A-"
"cell274","CD34+CD45RA-CLEC12A-"
"cell275","CD34+CD45RA-CLEC12A-"
"cell276","CD34+CD45RA-CLEC12A-"
"cell277","CD34+CD45RA+CLEC12A-"
"cell278","CD34+CD45RA-CLEC12A-"
"cell279","CD34+CD45RA-CLEC12A-"
"cell280","CD34+CD45RA-CLEC12A-"
"cell281","CD34+CD45RA-CLEC12A-"
"cell282","CD34+CD45RA-CLEC12A-"
"cell283","CD34+CD45RA-CLEC12A-"
"cell284","CD34+CD45RA-CLEC12A-"
"cell285","CD34+CD45RA-CLEC12A-"
"cell286","CD34+CD45RA-CLEC12A-"
"cell287","CD34+CD45RA+CLEC12A-"
"cell288","CD34+CD45RA+CLEC12A-"
"cell289","CD34+CD45RA-CLEC12A-"
"cell290","CD34+CD45RA-CLEC12A-"
"cell291","CD34+CD45RA-CLEC12A+"
"cell292","CD34+CD45RA-CLEC12A-"
"cell293","CD34+CD45RA-CLEC12A-"
"cell294","CD34+CD45RA+CLEC12A-"
"cell295","CD34+CD45RA-CLEC12A-"
"cell296","CD34+CD45RA+CLEC12A-"
"cell297","CD34+CD45RA-CLEC12A-"
"cell298","CD34+CD45RA+CLEC12A-"
"cell299","CD34+CD45RA-CLEC12A-"
"cell300","CD34+CD45RA-CLEC12A+"
"cell301","CD34+CD45RA-CLEC12A+"
"cell302","CD34+CD45RA-CLEC12A-"
"cell303","CD34+CD45RA-CLEC12A-"
"cell304","CD34+CD45RA-CLEC12A-"
"cell305","CD34+CD45RA-CLEC12A-"
"cell306","CD34+CD45RA-CLEC12A-"
"cell307","CD34+CD45RA-CLEC12A-"
"cell308","CD34+CD45RA-CLEC12A+"
"cell309","CD34+CD45RA-CLEC12A-"
"cell310","CD34+CD45RA-CLEC12A-"
"cell311","CD34+CD45RA-CLEC12A-"
"cell312","CD34+CD45RA-CLEC12A-"
"cell313","CD34+CD45RA-CLEC12A-"
"cell314","CD34+CD45RA-CLEC12A-"
"cell315","CD34+CD45RA-CLEC12A-"
"cell316","CD34+CD45RA-CLEC12A-"
"cell317","CD34+CD45RA-CLEC12A-"
"cell318","CD34+CD45RA-CLEC12A-"
"cell319","CD34+CD45RA-CLEC12A+"
"cell320","CD34+CD45RA-CLEC12A-"
"cell321","CD34+CD45RA+CLEC12A-"
"cell322","CD34+CD45RA-CLEC12A+"
"cell323","CD34+CD45RA-CLEC12A-"
"cell324","CD34+CD45RA+CLEC12A-"
"cell325","CD34+CD45RA-CLEC12A+"
"cell326","CD34+CD45RA+CLEC12A-"
"cell327","CD34+CD45RA+CLEC12A-"
"cell328","CD34+CD45RA-CLEC12A-"
"cell329","CD34+CD45RA+CLEC12A-"
"cell330","CD34+CD45RA-CLEC12A+"
"cell332","CD34+CD45RA-CLEC12A-"
"cell333","CD34+CD45RA-CLEC12A-"
"cell334","CD34+CD45RA-CLEC12A-"
"cell335","CD34+CD45RA-CLEC12A+"
"cell336","CD34+CD45RA-CLEC12A-"
"cell337","CD34+CD45RA+CLEC12A-"
"cell338","CD34+CD45RA+CLEC12A-"
"cell339","CD34+CD45RA-CLEC12A-"
"cell340","CD34+CD45RA-CLEC12A-"
"cell341","CD34+CD45RA-CLEC12A-"
"cell342","CD34+CD45RA-CLEC12A-"
"cell343","CD34+CD45RA-CLEC12A-"
"cell344","CD34+CD45RA-CLEC12A-"
"cell345","CD34+CD45RA-CLEC12A+"
"cell346","CD34+CD45RA+CLEC12A-"
"cell347","CD34+CD45RA-CLEC12A+"
"cell348","CD34+CD45RA-CLEC12A-"
"cell349","CD34+CD45RA-CLEC12A-"
"cell350","CD34+CD45RA+CLEC12A-"
"cell352","CD34+CD45RA-CLEC12A+"
"cell353","CD34+CD45RA+CLEC12A-"
"cell354","CD34+CD45RA-CLEC12A-"
"cell355","CD34+CD45RA-CLEC12A-"
"cell356","CD34+CD45RA-CLEC12A-"
"cell357","CD34+CD45RA-CLEC12A-"
"cell358","CD34+CD45RA-CLEC12A-"
"cell359","CD34+CD45RA-CLEC12A-"
"cell360","CD34+CD45RA-CLEC12A-"
"cell362","CD34+CD45RA-CLEC12A-"
"cell363","CD34+CD45RA+CLEC12A-"
"cell364","CD34+CD45RA-CLEC12A-"
"cell365","CD34+CD45RA+CLEC12A-"
"cell366","CD34+CD45RA-CLEC12A-"
"cell368","CD34+CD45RA+CLEC12A-"
"cell369","CD34+CD45RA-CLEC12A-"
"cell370","CD34+CD45RA+CLEC12A+"
"cell371","CD34+CD45RA+CLEC12A-"
"cell372","CD34+CD45RA-CLEC12A-"
"cell373","CD34+CD45RA-CLEC12A-"
"cell374","CD34+CD45RA-CLEC12A-"
"cell375","CD34+CD45RA-CLEC12A-"
"cell376","CD34+CD45RA+CLEC12A-"
"cell377","CD34+CD45RA-CLEC12A-"
"cell378","CD34+CD45RA-CLEC12A-"
"cell380","CD34+CD45RA-CLEC12A-"
"cell381","CD34+CD45RA-CLEC12A-"
"cell382","CD34+CD45RA-CLEC12A-"
"cell383","CD34+CD45RA-CLEC12A-"
"cell384","CD34+CD45RA-CLEC12A+"
"cell385","CD34+CD45RA-CLEC12A-"
"cell386","CD34+CD45RA-CLEC12A-"
"cell387","CD34+CD45RA-CLEC12A+"
"cell388","CD34+CD45RA-CLEC12A-"
"cell389","CD34+CD45RA-CLEC12A-"
"cell390","CD34+CD45RA-CLEC12A-"
"cell391","CD34+CD45RA-CLEC12A+"
"cell392","CD34+CD45RA-CLEC12A-"
"cell393","CD34+CD45RA-CLEC12A-"
"cell394","CD34+CD45RA-CLEC12A-"
"cell395","CD34+CD45RA-CLEC12A-"
"cell396","CD34+CD45RA-CLEC12A-"
"cell397","CD34+CD45RA-CLEC12A-"
"cell398","CD34+CD45RA-CLEC12A-"
"cell399","CD34+CD45RA+CLEC12A-"
"cell400","CD34+CD45RA-CLEC12A+"
"cell401","CD34+CD45RA-CLEC12A-"
"cell402","CD34+CD45RA-CLEC12A+"
"cell403","CD34+CD45RA-CLEC12A-"
"cell404","CD34+CD45RA-CLEC12A-"
"cell405","CD34+CD45RA-CLEC12A-"
"cell406","CD34+CD45RA-CLEC12A-"
"cell407","CD34+CD45RA-CLEC12A-"
"cell408","CD34+CD45RA+CLEC12A-"
"cell409","CD34+CD45RA-CLEC12A-"
"cell410","CD34+CD45RA-CLEC12A-"
"cell411","CD34+CD45RA-CLEC12A+"
"cell412","CD34+CD45RA-CLEC12A+"
"cell413","CD34+CD45RA-CLEC12A-"
"cell414","CD34+CD45RA+CLEC12A+"
"cell415","CD34+CD45RA-CLEC12A-"
"cell416","CD34+CD45RA-CLEC12A-"
"cell417","CD34+CD45RA-CLEC12A-"
"cell418","CD34+CD45RA-CLEC12A-"
"cell419","CD34+CD45RA-CLEC12A-"
"cell420","CD34+CD45RA-CLEC12A-"
