"","x"
"cell1192","CD34+CD45RA-CLEC12A+"
"cell1193","CD34+CD45RA-CLEC12A-"
"cell1194","CD34+CD45RA-CLEC12A+"
"cell1195","CD34+CD45RA+CLEC12A+"
"cell1196","CD34+CD45RA-CLEC12A+"
"cell1197","CD34+CD45RA-CLEC12A-"
"cell1198","CD34+CD45RA-CLEC12A-"
"cell1199","CD34+CD45RA-CLEC12A-"
"cell1200","CD34+CD45RA-CLEC12A-"
"cell1201","CD34+CD45RA-CLEC12A-"
"cell1202","CD34+CD45RA+CLEC12A+"
"cell1203","CD34+CD45RA-CLEC12A-"
"cell1204","CD34+CD45RA-CLEC12A+"
"cell1205","CD34+CD45RA-CLEC12A-"
"cell1206","CD34+CD45RA-CLEC12A-"
"cell1207","CD34+CD45RA-CLEC12A-"
"cell1208","CD34+CD45RA-CLEC12A-"
"cell1209","CD34+CD45RA+CLEC12A-"
"cell1210","CD34+CD45RA-CLEC12A-"
"cell1211","CD34+CD45RA-CLEC12A-"
"cell1212","CD34+CD45RA-CLEC12A-"
"cell1213","CD34+CD45RA-CLEC12A-"
"cell1214","CD34+CD45RA-CLEC12A-"
"cell1215","CD34+CD45RA-CLEC12A-"
"cell1216","CD34+CD45RA-CLEC12A+"
"cell1217","CD34+CD45RA-CLEC12A-"
"cell1218","CD34+CD45RA-CLEC12A-"
"cell1220","CD34+CD45RA-CLEC12A-"
"cell1221","CD34+CD45RA+CLEC12A-"
"cell1222","CD34+CD45RA-CLEC12A-"
"cell1223","CD34+CD45RA-CLEC12A-"
"cell1225","CD34+CD45RA+CLEC12A-"
"cell1227","CD34+CD45RA-CLEC12A-"
"cell1229","CD34+CD45RA+CLEC12A-"
"cell1230","CD34+CD45RA-CLEC12A+"
"cell1231","CD34+CD45RA-CLEC12A-"
"cell1232","CD34+CD45RA-CLEC12A-"
"cell1233","CD34+CD45RA-CLEC12A-"
"cell1234","CD34+CD45RA-CLEC12A-"
"cell1235","CD34+CD45RA-CLEC12A-"
"cell1236","CD34+CD45RA-CLEC12A+"
"cell1237","CD34+CD45RA-CLEC12A-"
"cell1238","CD34+CD45RA+CLEC12A-"
"cell1239","CD34+CD45RA+CLEC12A-"
"cell1240","CD34+CD45RA-CLEC12A-"
"cell1241","CD34+CD45RA-CLEC12A-"
"cell1242","CD34+CD45RA+CLEC12A-"
"cell1243","CD34+CD45RA-CLEC12A-"
"cell1244","CD34+CD45RA-CLEC12A+"
"cell1245","CD34+CD45RA-CLEC12A-"
"cell1246","CD34+CD45RA-CLEC12A-"
"cell1247","CD34+CD45RA-CLEC12A-"
"cell1248","CD34+CD45RA-CLEC12A-"
"cell1249","CD34+CD45RA-CLEC12A-"
"cell1250","CD34+CD45RA+CLEC12A-"
"cell1251","CD34+CD45RA+CLEC12A+"
"cell1252","CD34+CD45RA-CLEC12A-"
"cell1253","CD34+CD45RA-CLEC12A+"
"cell1254","CD34+CD45RA+CLEC12A-"
"cell1255","CD34+CD45RA-CLEC12A+"
"cell1256","CD34+CD45RA-CLEC12A-"
"cell1257","CD34+CD45RA-CLEC12A-"
"cell1258","CD34+CD45RA-CLEC12A-"
"cell1259","CD34+CD45RA-CLEC12A-"
"cell1260","CD34+CD45RA-CLEC12A+"
"cell1261","CD34+CD45RA-CLEC12A-"
"cell1262","CD34+CD45RA+CLEC12A-"
"cell1263","CD34+CD45RA-CLEC12A-"
"cell1264","CD34+CD45RA-CLEC12A-"
"cell1265","CD34+CD45RA+CLEC12A-"
"cell1266","CD34+CD45RA-CLEC12A-"
"cell1267","CD34+CD45RA-CLEC12A-"
"cell1268","CD34+CD45RA-CLEC12A-"
"cell1269","CD34+CD45RA-CLEC12A-"
"cell1270","CD34+CD45RA-CLEC12A+"
"cell1271","CD34+CD45RA-CLEC12A-"
"cell1272","CD34+CD45RA-CLEC12A-"
"cell1273","CD34+CD45RA-CLEC12A-"
"cell1274","CD34+CD45RA-CLEC12A+"
"cell1275","CD34+CD45RA-CLEC12A+"
"cell1276","CD34+CD45RA+CLEC12A-"
"cell1277","CD34+CD45RA-CLEC12A-"
"cell1278","CD34+CD45RA+CLEC12A-"
"cell1279","CD34+CD45RA-CLEC12A-"
"cell1280","CD34+CD45RA-CLEC12A-"
"cell1281","CD34+CD45RA-CLEC12A-"
"cell1282","CD34+CD45RA+CLEC12A-"
"cell1283","CD34+CD45RA-CLEC12A-"
"cell1284","CD34+CD45RA-CLEC12A-"
"cell1285","CD34+CD45RA-CLEC12A-"
"cell1286","CD34+CD45RA-CLEC12A+"
"cell1287","CD34+CD45RA+CLEC12A-"
"cell1288","CD34+CD45RA-CLEC12A+"
"cell1289","CD34+CD45RA+CLEC12A+"
"cell1290","CD34+CD45RA-CLEC12A-"
"cell1291","CD34+CD45RA-CLEC12A-"
"cell1292","CD34+CD45RA-CLEC12A-"
"cell1293","CD34+CD45RA-CLEC12A-"
"cell1294","CD34+CD45RA-CLEC12A-"
"cell1295","CD34+CD45RA-CLEC12A-"
"cell1296","CD34+CD45RA-CLEC12A-"
"cell1298","CD34+CD45RA+CLEC12A-"
"cell1299","CD34+CD45RA-CLEC12A-"
"cell1300","CD34+CD45RA-CLEC12A-"
"cell1301","CD34+CD45RA+CLEC12A-"
"cell1302","CD34+CD45RA+CLEC12A-"
"cell1303","CD34+CD45RA-CLEC12A-"
"cell1304","CD34+CD45RA-CLEC12A-"
"cell1305","CD34+CD45RA-CLEC12A-"
"cell1306","CD34+CD45RA-CLEC12A-"
"cell1307","CD34+CD45RA-CLEC12A-"
"cell1308","CD34+CD45RA-CLEC12A+"
"cell1309","CD34+CD45RA-CLEC12A-"
"cell1310","CD34+CD45RA-CLEC12A-"
"cell1311","CD34+CD45RA-CLEC12A-"
"cell1312","CD34+CD45RA-CLEC12A-"
"cell1313","CD34+CD45RA-CLEC12A-"
"cell1314","CD34+CD45RA-CLEC12A-"
"cell1315","CD34+CD45RA+CLEC12A+"
"cell1316","CD34+CD45RA-CLEC12A+"
"cell1318","CD34+CD45RA-CLEC12A+"
"cell1319","CD34+CD45RA-CLEC12A-"
"cell1320","CD34+CD45RA-CLEC12A-"
"cell1321","CD34+CD45RA+CLEC12A-"
"cell1322","CD34+CD45RA-CLEC12A+"
"cell1323","CD34+CD45RA-CLEC12A-"
"cell1324","CD34+CD45RA+CLEC12A+"
"cell1325","CD34+CD45RA-CLEC12A+"
"cell1326","CD34+CD45RA-CLEC12A-"
"cell1327","CD34+CD45RA-CLEC12A-"
"cell1328","CD34+CD45RA-CLEC12A-"
"cell1329","CD34+CD45RA-CLEC12A-"
"cell1330","CD34+CD45RA-CLEC12A-"
"cell1331","CD34+CD45RA+CLEC12A-"
"cell1332","CD34+CD45RA-CLEC12A-"
"cell1333","CD34+CD45RA+CLEC12A-"
"cell1334","CD34+CD45RA-CLEC12A-"
"cell1335","CD34+CD45RA+CLEC12A-"
"cell1336","CD34+CD45RA-CLEC12A-"
"cell1337","CD34+CD45RA-CLEC12A-"
"cell1338","CD34+CD45RA-CLEC12A-"
"cell1339","CD34+CD45RA-CLEC12A-"
"cell1340","CD34+CD45RA-CLEC12A-"
"cell1341","CD34+CD45RA-CLEC12A-"
"cell1342","CD34+CD45RA-CLEC12A-"
"cell1343","CD34+CD45RA-CLEC12A-"
"cell1344","CD34+CD45RA+CLEC12A-"
"cell1345","CD34+CD45RA-CLEC12A-"
"cell1346","CD34+CD45RA-CLEC12A-"
"cell1347","CD34+CD45RA-CLEC12A-"
"cell1348","CD34+CD45RA-CLEC12A-"
"cell1349","CD34+CD45RA-CLEC12A-"
"cell1350","CD34+CD45RA+CLEC12A+"
"cell1351","CD34+CD45RA-CLEC12A-"
"cell1352","CD34+CD45RA-CLEC12A-"
"cell1353","CD34+CD45RA+CLEC12A+"
"cell1354","CD34+CD45RA+CLEC12A-"
"cell1355","CD34+CD45RA-CLEC12A+"
"cell1356","CD34+CD45RA-CLEC12A-"
"cell1357","CD34+CD45RA+CLEC12A-"
"cell1359","CD34+CD45RA-CLEC12A-"
"cell1360","CD34+CD45RA-CLEC12A-"
"cell1361","CD34+CD45RA+CLEC12A-"
"cell1362","CD34+CD45RA-CLEC12A+"
"cell1363","CD34+CD45RA-CLEC12A-"
"cell1364","CD34+CD45RA-CLEC12A-"
"cell1365","CD34+CD45RA-CLEC12A-"
"cell1366","CD34+CD45RA-CLEC12A-"
"cell1367","CD34+CD45RA-CLEC12A-"
"cell1368","CD34+CD45RA-CLEC12A-"
"cell1369","CD34+CD45RA-CLEC12A-"
"cell1370","CD34+CD45RA+CLEC12A-"
"cell1371","CD34+CD45RA-CLEC12A-"
"cell1372","CD34+CD45RA-CLEC12A-"
"cell1373","CD34+CD45RA-CLEC12A-"
"cell1374","CD34+CD45RA-CLEC12A-"
"cell1375","CD34+CD45RA-CLEC12A-"
"cell1376","CD34+CD45RA-CLEC12A-"
"cell1377","CD34+CD45RA-CLEC12A+"
"cell1378","CD34+CD45RA-CLEC12A-"
"cell1379","CD34+CD45RA+CLEC12A-"
"cell1380","CD34+CD45RA-CLEC12A-"
"cell1381","CD34+CD45RA+CLEC12A-"
"cell1382","CD34+CD45RA-CLEC12A-"
"cell1383","CD34+CD45RA-CLEC12A-"
"cell1384","CD34+CD45RA+CLEC12A-"
"cell1385","CD34+CD45RA-CLEC12A-"
"cell1386","CD34+CD45RA-CLEC12A-"
"cell1387","CD34+CD45RA-CLEC12A-"
"cell1388","CD34+CD45RA-CLEC12A-"
"cell1389","CD34+CD45RA+CLEC12A-"
"cell1390","CD34+CD45RA-CLEC12A-"
"cell1391","CD34+CD45RA-CLEC12A-"
"cell1392","CD34+CD45RA-CLEC12A-"
"cell1393","CD34+CD45RA-CLEC12A-"
"cell1394","CD34+CD45RA-CLEC12A-"
"cell1395","CD34+CD45RA-CLEC12A-"
"cell1396","CD34+CD45RA-CLEC12A-"
"cell1397","CD34+CD45RA-CLEC12A-"
"cell1398","CD34+CD45RA+CLEC12A-"
"cell1399","CD34+CD45RA+CLEC12A-"
"cell1401","CD34+CD45RA-CLEC12A-"
"cell1402","CD34+CD45RA-CLEC12A-"
"cell1403","CD34+CD45RA-CLEC12A-"
"cell1404","CD34+CD45RA+CLEC12A-"
"cell1405","CD34+CD45RA-CLEC12A-"
"cell1406","CD34+CD45RA-CLEC12A-"
"cell1407","CD34+CD45RA-CLEC12A-"
"cell1408","CD34+CD45RA-CLEC12A+"
"cell1409","CD34+CD45RA+CLEC12A-"
"cell1410","CD34+CD45RA+CLEC12A-"
"cell1411","CD34+CD45RA+CLEC12A-"
"cell1412","CD34+CD45RA-CLEC12A-"
"cell1413","CD34+CD45RA-CLEC12A-"
"cell1414","CD34+CD45RA-CLEC12A-"
"cell1415","CD34+CD45RA-CLEC12A+"
"cell1416","CD34+CD45RA-CLEC12A+"
"cell1417","CD34+CD45RA-CLEC12A-"
"cell1418","CD34+CD45RA+CLEC12A+"
"cell1419","CD34+CD45RA-CLEC12A-"
"cell1420","CD34+CD45RA-CLEC12A-"
"cell1422","CD34+CD45RA-CLEC12A-"
"cell1423","CD34+CD45RA-CLEC12A-"
"cell1424","CD34+CD45RA-CLEC12A-"
"cell1425","CD34+CD45RA-CLEC12A-"
"cell1426","CD34+CD45RA-CLEC12A-"
"cell1427","CD34+CD45RA-CLEC12A-"
"cell1428","CD34+CD45RA-CLEC12A-"
"cell1429","CD34+CD45RA+CLEC12A-"
"cell1430","CD34+CD45RA-CLEC12A-"
"cell1431","CD34+CD45RA-CLEC12A+"
"cell1432","CD34+CD45RA+CLEC12A+"
"cell1433","CD34+CD45RA-CLEC12A-"
"cell1434","CD34+CD45RA+CLEC12A-"
"cell1435","CD34+CD45RA+CLEC12A-"
"cell1436","CD34+CD45RA-CLEC12A+"
"cell1437","CD34+CD45RA+CLEC12A-"
"cell1438","CD34+CD45RA-CLEC12A-"
"cell1439","CD34+CD45RA-CLEC12A-"
"cell1440","CD34+CD45RA-CLEC12A-"
"cell1441","CD34+CD45RA-CLEC12A-"
"cell1442","CD34+CD45RA-CLEC12A+"
"cell1443","CD34+CD45RA-CLEC12A-"
"cell1444","CD34+CD45RA-CLEC12A-"
"cell1445","CD34+CD45RA-CLEC12A-"
"cell1446","CD34+CD45RA-CLEC12A-"
"cell1447","CD34+CD45RA-CLEC12A-"
"cell1448","CD34+CD45RA-CLEC12A-"
"cell1449","CD34+CD45RA-CLEC12A+"
"cell1450","CD34+CD45RA-CLEC12A-"
"cell1451","CD34+CD45RA-CLEC12A-"
"cell1452","CD34+CD45RA-CLEC12A-"
"cell1453","CD34+CD45RA-CLEC12A-"
"cell1454","CD34+CD45RA-CLEC12A-"
"cell1455","CD34+CD45RA-CLEC12A-"
"cell1456","CD34+CD45RA-CLEC12A-"
"cell1457","CD34+CD45RA-CLEC12A-"
"cell1458","CD34+CD45RA-CLEC12A-"
"cell1459","CD34+CD45RA-CLEC12A-"
"cell1460","CD34+CD45RA-CLEC12A-"
"cell1461","CD34+CD45RA+CLEC12A-"
"cell1462","CD34+CD45RA-CLEC12A-"
"cell1463","CD34+CD45RA-CLEC12A-"
"cell1464","CD34+CD45RA+CLEC12A+"
"cell1465","CD34+CD45RA+CLEC12A-"
"cell1466","CD34+CD45RA+CLEC12A-"
"cell1467","CD34+CD45RA-CLEC12A-"
"cell1468","CD34+CD45RA+CLEC12A-"
"cell1469","CD34+CD45RA-CLEC12A-"
"cell1470","CD34+CD45RA+CLEC12A-"
"cell1471","CD34+CD45RA-CLEC12A-"
"cell1472","CD34+CD45RA+CLEC12A-"
"cell1473","CD34+CD45RA-CLEC12A-"
"cell1474","CD34+CD45RA-CLEC12A+"
"cell1475","CD34+CD45RA+CLEC12A-"
"cell1476","CD34+CD45RA+CLEC12A-"
"cell1477","CD34+CD45RA-CLEC12A-"
"cell1478","CD34+CD45RA-CLEC12A-"
"cell1479","CD34+CD45RA-CLEC12A-"
"cell1480","CD34+CD45RA-CLEC12A-"
"cell1481","CD34+CD45RA-CLEC12A-"
"cell1482","CD34+CD45RA+CLEC12A-"
"cell1483","CD34+CD45RA-CLEC12A-"
"cell1484","CD34+CD45RA-CLEC12A-"
"cell1485","CD34+CD45RA-CLEC12A-"
"cell1486","CD34+CD45RA-CLEC12A-"
"cell1487","CD34+CD45RA-CLEC12A-"
"cell1488","CD34+CD45RA-CLEC12A-"
"cell1489","CD34+CD45RA-CLEC12A-"
"cell1490","CD34+CD45RA-CLEC12A-"
"cell1491","CD34+CD45RA-CLEC12A-"
"cell1492","CD34+CD45RA-CLEC12A-"
"cell1493","CD34+CD45RA-CLEC12A-"
"cell1494","CD34+CD45RA-CLEC12A-"
"cell1495","CD34+CD45RA-CLEC12A-"
"cell1496","CD34+CD45RA-CLEC12A+"
"cell1497","CD34+CD45RA+CLEC12A-"
"cell1498","CD34+CD45RA-CLEC12A-"
"cell1499","CD34+CD45RA+CLEC12A-"
"cell1500","CD34+CD45RA-CLEC12A-"
"cell1501","CD34+CD45RA-CLEC12A-"
"cell1502","CD34+CD45RA+CLEC12A-"
"cell1503","CD34+CD45RA-CLEC12A-"
"cell1504","CD34+CD45RA-CLEC12A-"
"cell1505","CD34+CD45RA-CLEC12A-"
"cell1506","CD34+CD45RA-CLEC12A-"
"cell1507","CD34+CD45RA-CLEC12A-"
"cell1508","CD34+CD45RA+CLEC12A-"
"cell1510","CD34+CD45RA-CLEC12A+"
"cell1511","CD34+CD45RA-CLEC12A-"
"cell1512","CD34+CD45RA-CLEC12A-"
"cell1513","CD34+CD45RA-CLEC12A-"
"cell1514","CD34+CD45RA-CLEC12A+"
"cell1515","CD34+CD45RA-CLEC12A-"
"cell1516","CD34+CD45RA-CLEC12A-"
"cell1517","CD34+CD45RA-CLEC12A-"
"cell1518","CD34+CD45RA+CLEC12A+"
"cell1519","CD34+CD45RA-CLEC12A-"
"cell1520","CD34+CD45RA-CLEC12A-"
"cell1521","CD34+CD45RA-CLEC12A-"
"cell1522","CD34+CD45RA-CLEC12A-"
"cell1523","CD34+CD45RA+CLEC12A-"
"cell1524","CD34+CD45RA-CLEC12A-"
"cell1525","CD34+CD45RA+CLEC12A-"
"cell1526","CD34+CD45RA-CLEC12A-"
"cell1527","CD34+CD45RA-CLEC12A+"
"cell1528","CD34+CD45RA-CLEC12A-"
"cell1529","CD34+CD45RA-CLEC12A+"
"cell1531","CD34+CD45RA-CLEC12A-"
"cell1532","CD34+CD45RA-CLEC12A-"
"cell1533","CD34+CD45RA-CLEC12A-"
"cell1534","CD34+CD45RA-CLEC12A-"
"cell1535","CD34+CD45RA+CLEC12A-"
"cell1536","CD34+CD45RA-CLEC12A-"
"cell1537","CD34+CD45RA+CLEC12A-"
"cell1538","CD34+CD45RA-CLEC12A-"
"cell1539","CD34+CD45RA-CLEC12A+"
"cell1540","CD34+CD45RA-CLEC12A-"
"cell1541","CD34+CD45RA+CLEC12A+"
"cell1542","CD34+CD45RA+CLEC12A-"
"cell1543","CD34+CD45RA-CLEC12A-"
"cell1544","CD34+CD45RA-CLEC12A-"
"cell1545","CD34+CD45RA-CLEC12A-"
"cell1546","CD34+CD45RA+CLEC12A-"
"cell1547","CD34+CD45RA-CLEC12A-"
"cell1548","CD34+CD45RA-CLEC12A-"
"cell1549","CD34+CD45RA-CLEC12A-"
"cell1550","CD34+CD45RA+CLEC12A-"
"cell1551","CD34+CD45RA+CLEC12A-"
"cell1552","CD34+CD45RA-CLEC12A-"
"cell1553","CD34+CD45RA-CLEC12A+"
"cell1554","CD34+CD45RA-CLEC12A-"
"cell1555","CD34+CD45RA-CLEC12A-"
"cell1556","CD34+CD45RA+CLEC12A-"
"cell1557","CD34+CD45RA+CLEC12A-"
"cell1558","CD34+CD45RA-CLEC12A-"
"cell1560","CD34+CD45RA-CLEC12A-"
"cell1561","CD34+CD45RA-CLEC12A-"
"cell1562","CD34+CD45RA-CLEC12A+"
"cell1563","CD34+CD45RA-CLEC12A-"
"cell1564","CD34+CD45RA-CLEC12A-"
"cell1565","CD34+CD45RA+CLEC12A-"
"cell1566","CD34+CD45RA-CLEC12A+"
"cell1567","CD34+CD45RA-CLEC12A-"
"cell1568","CD34+CD45RA-CLEC12A-"
"cell1569","CD34+CD45RA-CLEC12A+"
"cell1570","CD34+CD45RA-CLEC12A-"
"cell1571","CD34+CD45RA-CLEC12A-"
"cell1572","CD34+CD45RA+CLEC12A+"
"cell1573","CD34+CD45RA-CLEC12A+"
"cell1574","CD34+CD45RA-CLEC12A+"
"cell1575","CD34+CD45RA-CLEC12A+"
"cell1576","CD34+CD45RA-CLEC12A-"
"cell1577","CD34+CD45RA-CLEC12A-"
"cell1578","CD34+CD45RA-CLEC12A+"
"cell1579","CD34+CD45RA-CLEC12A+"
"cell1580","CD34+CD45RA-CLEC12A-"
"cell1581","CD34+CD45RA-CLEC12A-"
"cell1582","CD34+CD45RA-CLEC12A-"
"cell1583","CD34+CD45RA+CLEC12A+"
"cell1584","CD34+CD45RA-CLEC12A+"
"cell1585","CD34+CD45RA+CLEC12A-"
"cell1586","CD34+CD45RA-CLEC12A-"
"cell1587","CD34+CD45RA-CLEC12A-"
"cell1588","CD34+CD45RA+CLEC12A-"
"cell1589","CD34+CD45RA-CLEC12A-"
"cell1590","CD34+CD45RA-CLEC12A+"
"cell1591","CD34+CD45RA-CLEC12A-"
"cell1592","CD34+CD45RA+CLEC12A+"
"cell1593","CD34+CD45RA-CLEC12A-"
"cell1594","CD34+CD45RA-CLEC12A-"
"cell1595","CD34+CD45RA-CLEC12A-"
"cell1596","CD34+CD45RA-CLEC12A-"
"cell1597","CD34+CD45RA-CLEC12A-"
"cell1598","CD34+CD45RA+CLEC12A-"
"cell1599","CD34+CD45RA+CLEC12A-"
"cell1600","CD34+CD45RA-CLEC12A-"
"cell1601","CD34+CD45RA-CLEC12A-"
"cell1602","CD34+CD45RA-CLEC12A-"
"cell1603","CD34+CD45RA-CLEC12A-"
"cell1604","CD34+CD45RA-CLEC12A-"
"cell1605","CD34+CD45RA-CLEC12A-"
"cell1606","CD34+CD45RA-CLEC12A-"
"cell1607","CD34+CD45RA-CLEC12A-"
"cell1608","CD34+CD45RA-CLEC12A-"
"cell1609","CD34+CD45RA-CLEC12A-"
"cell1610","CD34+CD45RA+CLEC12A-"
"cell1611","CD34+CD45RA-CLEC12A-"
"cell1612","CD34+CD45RA-CLEC12A-"
"cell1613","CD34+CD45RA-CLEC12A-"
"cell1614","CD34+CD45RA+CLEC12A-"
"cell1615","CD34+CD45RA-CLEC12A-"
"cell1616","CD34+CD45RA-CLEC12A+"
"cell1617","CD34+CD45RA-CLEC12A-"
"cell1618","CD34+CD45RA-CLEC12A-"
"cell1619","CD34+CD45RA-CLEC12A-"
"cell1620","CD34+CD45RA-CLEC12A-"
"cell1622","CD34+CD45RA-CLEC12A+"
"cell1623","CD34+CD45RA-CLEC12A-"
"cell1624","CD34+CD45RA-CLEC12A-"
"cell1625","CD34+CD45RA-CLEC12A-"
"cell1626","CD34+CD45RA-CLEC12A+"
"cell1627","CD34+CD45RA-CLEC12A-"
"cell1628","CD34+CD45RA-CLEC12A+"
"cell1629","CD34+CD45RA-CLEC12A-"
"cell1630","CD34+CD45RA+CLEC12A+"
"cell1631","CD34+CD45RA-CLEC12A-"
"cell1632","CD34+CD45RA-CLEC12A-"
"cell1633","CD34+CD45RA-CLEC12A-"
"cell1634","CD34+CD45RA-CLEC12A-"
"cell1635","CD34+CD45RA-CLEC12A+"
"cell1636","CD34+CD45RA-CLEC12A-"
"cell1637","CD34+CD45RA+CLEC12A-"
"cell1638","CD34+CD45RA-CLEC12A-"
"cell1639","CD34+CD45RA-CLEC12A-"
"cell1640","CD34+CD45RA+CLEC12A-"
"cell1641","CD34+CD45RA-CLEC12A-"
"cell1642","CD34+CD45RA-CLEC12A-"
"cell1643","CD34+CD45RA-CLEC12A-"
"cell1644","CD34+CD45RA-CLEC12A-"
"cell1645","CD34+CD45RA-CLEC12A-"
"cell1646","CD34+CD45RA+CLEC12A-"
"cell1647","CD34+CD45RA-CLEC12A-"
"cell1648","CD34+CD45RA-CLEC12A-"
"cell1649","CD34+CD45RA-CLEC12A-"
"cell1650","CD34+CD45RA+CLEC12A-"
"cell1651","CD34+CD45RA-CLEC12A+"
"cell1652","CD34+CD45RA-CLEC12A-"
"cell1653","CD34+CD45RA-CLEC12A-"
"cell1654","CD34+CD45RA-CLEC12A-"
"cell1655","CD34+CD45RA-CLEC12A-"
"cell1656","CD34+CD45RA-CLEC12A-"
"cell1657","CD34+CD45RA-CLEC12A+"
"cell1658","CD34+CD45RA-CLEC12A+"
"cell1659","CD34+CD45RA-CLEC12A-"
"cell1660","CD34+CD45RA+CLEC12A-"
"cell1661","CD34+CD45RA-CLEC12A-"
"cell1662","CD34+CD45RA-CLEC12A-"
"cell1663","CD34+CD45RA-CLEC12A-"
"cell1664","CD34+CD45RA-CLEC12A-"
"cell1665","CD34+CD45RA-CLEC12A-"
"cell1666","CD34+CD45RA-CLEC12A-"
"cell1667","CD34+CD45RA+CLEC12A-"
"cell1668","CD34+CD45RA+CLEC12A-"
"cell1669","CD34+CD45RA-CLEC12A-"
"cell1670","CD34+CD45RA-CLEC12A-"
"cell1671","CD34+CD45RA-CLEC12A-"
"cell1672","CD34+CD45RA+CLEC12A-"
"cell1673","CD34+CD45RA-CLEC12A-"
"cell1674","CD34+CD45RA+CLEC12A-"
"cell1675","CD34+CD45RA+CLEC12A+"
"cell1676","CD34+CD45RA-CLEC12A-"
"cell1677","CD34+CD45RA+CLEC12A+"
"cell1678","CD34+CD45RA-CLEC12A+"
"cell1679","CD34+CD45RA+CLEC12A+"
"cell1680","CD34+CD45RA-CLEC12A-"
"cell1681","CD34+CD45RA-CLEC12A-"
"cell1682","CD34+CD45RA-CLEC12A-"
"cell1683","CD34+CD45RA-CLEC12A-"
"cell1684","CD34+CD45RA+CLEC12A-"
"cell1685","CD34+CD45RA-CLEC12A+"
"cell1686","CD34+CD45RA-CLEC12A-"
"cell1687","CD34+CD45RA+CLEC12A-"
"cell1688","CD34+CD45RA-CLEC12A+"
"cell1689","CD34+CD45RA-CLEC12A-"
"cell1690","CD34+CD45RA-CLEC12A-"
"cell1691","CD34+CD45RA-CLEC12A-"
"cell1692","CD34+CD45RA-CLEC12A-"
"cell1693","CD34+CD45RA+CLEC12A-"
"cell1694","CD34+CD45RA+CLEC12A-"
"cell1695","CD34+CD45RA-CLEC12A-"
"cell1696","CD34+CD45RA-CLEC12A-"
"cell1697","CD34+CD45RA-CLEC12A-"
"cell1698","CD34+CD45RA-CLEC12A-"
"cell1699","CD34+CD45RA-CLEC12A-"
"cell1700","CD34+CD45RA-CLEC12A-"
"cell1701","CD34+CD45RA-CLEC12A-"
"cell1702","CD34+CD45RA-CLEC12A-"
"cell1703","CD34+CD45RA-CLEC12A-"
"cell1704","CD34+CD45RA-CLEC12A+"
"cell1705","CD34+CD45RA+CLEC12A-"
"cell1706","CD34+CD45RA-CLEC12A+"
"cell1707","CD34+CD45RA-CLEC12A-"
"cell1708","CD34+CD45RA-CLEC12A-"
"cell1710","CD34+CD45RA-CLEC12A-"
"cell1711","CD34+CD45RA-CLEC12A-"
"cell1712","CD34+CD45RA-CLEC12A-"
"cell1713","CD34+CD45RA-CLEC12A+"
"cell1714","CD34+CD45RA-CLEC12A-"
"cell1715","CD34+CD45RA-CLEC12A-"
"cell1716","CD34+CD45RA-CLEC12A-"
"cell1717","CD34+CD45RA+CLEC12A-"
"cell1718","CD34+CD45RA+CLEC12A-"
"cell1719","CD34+CD45RA-CLEC12A-"
"cell1720","CD34+CD45RA+CLEC12A+"
"cell1721","CD34+CD45RA-CLEC12A-"
"cell1722","CD34+CD45RA-CLEC12A-"
"cell1723","CD34+CD45RA+CLEC12A-"
"cell1724","CD34+CD45RA-CLEC12A-"
"cell1725","CD34+CD45RA-CLEC12A-"
"cell1726","CD34+CD45RA+CLEC12A-"
"cell1727","CD34+CD45RA+CLEC12A-"
"cell1728","CD34+CD45RA-CLEC12A-"
"cell1729","CD34+CD45RA-CLEC12A-"
"cell1730","CD34+CD45RA-CLEC12A+"
"cell1731","CD34+CD45RA-CLEC12A-"
"cell1732","CD34+CD45RA-CLEC12A-"
"cell1733","CD34+CD45RA-CLEC12A+"
"cell1734","CD34+CD45RA-CLEC12A-"
"cell1735","CD34+CD45RA+CLEC12A-"
"cell1736","CD34+CD45RA-CLEC12A-"
"cell1737","CD34+CD45RA-CLEC12A-"
"cell1738","CD34+CD45RA+CLEC12A-"
"cell1739","CD34+CD45RA+CLEC12A-"
"cell1740","CD34+CD45RA+CLEC12A-"
"cell1741","CD34+CD45RA-CLEC12A-"
"cell1742","CD34+CD45RA-CLEC12A-"
"cell1743","CD34+CD45RA-CLEC12A+"
"cell1744","CD34+CD45RA+CLEC12A-"
"cell1745","CD34+CD45RA+CLEC12A+"
"cell1747","CD34+CD45RA-CLEC12A-"
"cell1748","CD34+CD45RA-CLEC12A-"
"cell1749","CD34+CD45RA-CLEC12A-"
"cell1750","CD34+CD45RA-CLEC12A-"
"cell1752","CD34+CD45RA+CLEC12A-"
"cell1753","CD34+CD45RA-CLEC12A-"
"cell1754","CD34+CD45RA-CLEC12A+"
"cell1756","CD34+CD45RA+CLEC12A-"
"cell1757","CD34+CD45RA-CLEC12A-"
"cell1758","CD34+CD45RA-CLEC12A-"
"cell1759","CD34+CD45RA-CLEC12A-"
"cell1760","CD34+CD45RA-CLEC12A-"
"cell1761","CD34+CD45RA+CLEC12A+"
"cell1762","CD34+CD45RA+CLEC12A-"
"cell1763","CD34+CD45RA-CLEC12A-"
"cell1764","CD34+CD45RA+CLEC12A-"
"cell1765","CD34+CD45RA+CLEC12A-"
"cell1766","CD34+CD45RA-CLEC12A+"
"cell1767","CD34+CD45RA-CLEC12A-"
