"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"7081","RAD51D",-0.0466333112943409,0.34810972274253,-3.22730256114153,0.00125701504578406,0.00497582407237722,-6.45932961705603
"7082","ZDHHC16",-0.0466135327196227,0.278703873481869,-3.57775878769377,0.000349558958479065,0.00148839081424991,-5.26920490804125
"7083","PINK1",-0.04661330025505,0.101610514683275,-5.26713471667249,1.43883513914206e-07,8.57700405989226e-07,2.17568882124437
"7084","GASK1B",-0.0466123632668658,0.0918399986772201,-5.56477121951134,2.75003964708338e-08,1.73721437906281e-07,3.77934393969949
"7085","C16orf87",-0.0465859142297192,0.415902865701774,-2.99387119526016,0.00276697077335037,0.0103817424167501,-7.18428376226933
"7086","AC092683.1",-0.0465424587471299,0.16146992924605,-4.4653435623905,8.15516816831093e-06,4.17464769410277e-05,-1.70976040208499
"7087","HERC4",-0.0465354904153312,1.10861592197469,-2.10972888234006,0.0349271163917778,0.103664090019082,-9.43808055555488
"7088","PPIA",-0.0465031573272983,4.15259882510551,-3.25269880186067,0.00115009817561962,0.00457999600977628,-6.37718874235746
"7089","ZNF485",-0.0464815235290457,0.0764567391716549,-6.38491443339118,1.85669811513551e-10,1.35022864518328e-09,8.64847104931711
"7090","HIST2H2AB",0.0464802324336663,0.0559321369243687,7.60887825689118,3.23705373645853e-14,2.83647124271292e-13,17.1372690957839
"7091","LINC00271",-0.0464570951123296,0.0664622531632732,-6.17459782270362,7.11210578029821e-10,5.01078313117796e-09,7.33697095825231
"7092","EMSY",0.0464050394179718,0.536300806384154,2.5938132483015,0.009517161187511,0.0324185776290451,-8.3005820026332
"7093","C8orf76",0.0463954223194503,0.424370249292829,2.95614516589764,0.00312843739285908,0.011653158662328,-7.29635775409273
"7094","TRAF7",0.0463611566090403,0.309207343773948,3.40337026654261,0.000670389453080354,0.00275355452499091,-5.87667354380349
"7095","AL645568.1",-0.0463586754045261,0.239581530631568,-3.5375014881826,0.000407289989809757,0.00171920434978975,-5.4121202239529
"7096","TM2D2",0.0463430530440952,0.254148782437731,3.64418240711729,0.000270736282378322,0.00116881560171373,-5.02987916249856
"7097","RNF114",-0.0463245294046511,0.453583504749502,-2.9320878879,0.00338090252806073,0.0124994356999546,-7.36708579066928
"7098","TRAM2-AS1",-0.0463062014013318,0.0802975724446657,-6.10119427809042,1.1252233779679e-09,7.83120381384354e-09,6.8894344489868
"7099","CTSB",0.0463002549541788,0.276887676714158,3.41599485861667,0.000640130699289842,0.00263831675817398,-5.8337113445852
"7100","UBLCP1",-0.0462992425278253,0.411883938529568,-2.98606865488764,0.00283843991787188,0.0106335454896652,-7.20757922600248
"7101","MRPL43",0.0462974807807125,0.757325330480208,2.43894842827734,0.0147617210483705,0.0482881896573077,-8.68989990901241
"7102","ST7-AS2",0.0462798844723871,0.0668413703401475,6.57163739307395,5.43903804487023e-11,4.08022610125631e-10,9.84910133590166
"7103","RPUSD1",-0.0462724110425824,0.240561646705972,-3.658215100911,0.000256372792126007,0.00111086783054386,-4.97875851455964
"7104","BRAP",0.0462538143520398,0.269056264038778,3.56386986501468,0.000368550895416455,0.00156506918704463,-5.31869311694125
"7105","IRAK4",0.0462508062641576,0.314640955638266,3.21759193995105,0.00130026837605776,0.00513665653881165,-6.49056786271299
"7106","TUBGCP5",-0.0462467077142281,0.336410972747464,-3.21675609644556,0.00130405491860197,0.00514883646987602,-6.4932523171042
"7107","TMEM44",-0.0462403240486266,0.261171292624982,-3.52968815599959,0.000419480039441336,0.00176760176417135,-5.43967138711545
"7108","CDC25A",0.0462337646173262,0.272506869614198,3.54120495936973,0.00040162834258497,0.00169667578104253,-5.39903995888118
"7109","ZNF473",0.0462322751117888,0.0981504423364854,5.76766382431663,8.47936652347534e-09,5.53609158269213e-08,4.92246138612573
"7110","TRAPPC9",-0.0462313506851637,1.23111446743765,-1.97834028904001,0.0479405301132693,0.136667290495815,-9.70648672858499
"7111","SHLD1",0.0461931438280748,0.417925010304827,2.84245974107795,0.00449330406643515,0.0162695582198345,-7.62551922211756
"7112","CREBZF",-0.046186006621268,0.450116343226767,-2.89827865279231,0.00376711516283996,0.0138378344113915,-7.46551064594616
"7113","MFSD1",-0.0461857825305341,0.442369598164058,-2.84951921870526,0.00439493403120019,0.0159455769702575,-7.60545413155422
"7114","AC008124.1",-0.0461805033336946,0.21121696262175,-3.74006027381131,0.00018586183283767,0.000818718130183121,-4.67670402291533
"7115","GMNN",0.0461679441152831,1.1211605076745,2.0149967723548,0.043953924473265,0.126820792999375,-9.63333595873281
"7116","ZNF160",0.046150812992873,0.311745772777561,3.24179035051914,0.00119494826260709,0.00474929974586621,-6.41254930479748
"7117","TAF9",-0.0461293359324715,0.885321043594372,-2.28605059602565,0.0222894412653567,0.0696861569790143,-9.05081743783928
"7118","IGFBP4",-0.046120400107026,0.0577460260411696,-6.79592287210526,1.19097250031354e-11,9.26281013259156e-11,11.3362747876843
"7119","NUP153",0.0461199932391547,1.03458848390381,2.20406730469937,0.0275612012377251,0.0839171056070192,-9.23473845531482
"7120","ZNF540",-0.0461123639886949,0.0608508279819745,-6.98047930785723,3.29205780291433e-12,2.64354119448151e-11,12.5968093055499
"7121","PITPNB",0.0461079047257573,0.987925072312795,2.30355807785284,0.0212848615082035,0.0669687282783252,-9.0106725929971
"7122","LINC02789",0.0460789440235754,0.0196230876491162,9.88258728768971,7.69598461401468e-23,9.54526373627758e-22,36.7468027611246
"7123","SPESP1",-0.0460407388796727,0.121924646963488,-4.59181360530673,4.49276635400091e-06,2.35553275064872e-05,-1.1390709682871
"7124","CD83",-0.0460349364805331,0.122643521848073,-4.8753818545091,1.11675264439197e-06,6.19588654500388e-06,0.197978394895197
"7125","PIK3CD-AS2",0.0460330518038169,0.107652314727966,5.19117334131027,2.1654199865515e-07,1.27584985393488e-06,1.78038303049501
"7126","PXYLP1",-0.0460305256809359,0.0629397623560763,-6.85174136928666,8.10020153919675e-12,6.35940533110554e-11,11.7140177962942
