"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"6317","CD38",0.0566819494887681,0.73995658101255,2.44802877575588,0.0143952885607927,0.0471905021597468,-8.66773238280124
"6428","ABCD3",-0.0550454328265143,0.450169355024532,-3.41176650356712,0.000650120796280999,0.00267450503143541,-5.848118316703
"6457","CD200R1",0.0546948177431597,0.024883421003998,11.5249567214394,2.21375830711622e-30,3.4216962752855e-29,53.9660567973558
"6523","CD3E",-0.0537464606239455,0.0446200937502081,-8.67185196719332,5.53299394196913e-18,5.75812087773705e-17,25.6876036574157
"6622","ABCD4",-0.0524218543729737,0.217627149022523,-4.37411881800634,1.24193706312127e-05,6.23968956037085e-05,-2.11158464339368
"6638","CD276",0.0522346743926703,0.0451099294604328,8.66441076162289,5.90134284349511e-18,6.13273848423522e-17,25.623966533832
"6813","HACD2",-0.0496846037059798,0.273189298904603,-3.78765046543015,0.000153713594572554,0.000683771423790721,-4.49801253392755
"6873","CD22",-0.0488135243134694,0.0428054127691973,-8.71893950505328,3.67543628178165e-18,3.85126376608904e-17,26.0915278759151
"6947","CD72",-0.0479865108798651,0.0783454553026002,-5.93433003250275,3.13210299011994e-09,2.10499635588285e-08,5.89172247220795
"7124","CD83",-0.0460349364805331,0.122643521848073,-4.8753818545091,1.11675264439197e-06,6.19588654500388e-06,0.197978394895197
"7636","CD180",-0.0404603222315605,0.044084442407936,-6.90542578015814,5.57533130561306e-12,4.4159857415439e-11,12.0801837769393
"7712","CD79A",-0.0395584628170719,0.0539987802221609,-5.86572727048738,4.73444128173052e-09,3.13922618392425e-08,5.48945587588774
"7930","C2CD2L",0.0371801802969382,0.0494901997771846,6.28640182641943,3.5012790701394e-10,2.50685280215517e-09,8.02877248628841
"7969","BICDL1",-0.0368541056319868,0.0370088115908676,-6.53259158862579,7.05051956037202e-11,5.25144620327994e-10,9.59521889080744
"8014","LMCD1",0.0364327111403542,0.0181125275426357,9.44538988991453,5.11948747687498e-21,5.97888835804407e-20,32.5920842832226
"8051","SMARCD1",-0.0359516822287325,0.370493849487025,-2.45812375259485,0.0139973521728841,0.0460013546628116,-8.6429913918395
"8109","FICD",0.0353284297211739,0.0397556709040368,6.48585500909321,9.60032567576976e-11,7.09145348251965e-10,9.29328829066765
"8150","CD40LG",0.0349251794468565,0.0135270864899907,9.92627735567047,5.00964697553102e-23,6.24942361797583e-22,37.1719659366055
"8157","CD7",-0.0348576979563837,0.0603620106245816,-4.87841567872559,1.09978861047135e-06,6.10454396904183e-06,0.212712545847406
"8289","SCD5",0.0334599513332619,0.0813915866709676,3.94219155194854,8.17505363267105e-05,0.000375521006537893,-3.90224550963758
"8297","CDH20",0.033353771462239,0.0108868372702986,9.82105202464698,1.40462561105746e-22,1.72287875302661e-21,36.1510513748014
"8300","CDH26",-0.033320529688225,0.139123956906794,-3.39997871247248,0.000678742128738416,0.00278473721039735,-5.88818820155412
"8457","CD27-AS1",0.0315581840681195,0.138407794919398,3.12943925625749,0.00176063869025438,0.00682350028610763,-6.76985741148133
"8750","CD300C",0.0282135077772098,0.0152345737264164,7.73920552519578,1.18404183479855e-14,1.06114385885068e-13,18.1269103543267
"8781","ACD",0.0279134382196121,0.188322800018072,2.53026727976643,0.0114254487907004,0.0382391049001852,-8.46322342347295
"8974","CDA",-0.0257179151163771,0.0196486231252138,-6.29687756827669,3.27433683082975e-10,2.34988239892548e-09,8.09421947458899
"9151","CDH23",-0.023891704615235,0.046556243821258,-4.02863850016712,5.68630125792609e-05,0.00026631389934914,-3.55865562316565
"9216","CD274",0.023300177104444,0.0104071708836138,8.01286457980343,1.35944691630464e-15,1.27126000469254e-14,20.2584209638814
"9339","CD6",0.0222090672477033,0.0129148486857413,6.564988902307,5.68534127218002e-11,4.25627277363594e-10,9.80576651655118
"9393","BICDL2",0.0216345610145461,0.00646978305837043,7.70514395360846,1.54241155349067e-14,1.37323778324768e-13,17.8666760056053
"9472","CDHR2",-0.020846049870245,0.031104712332556,-4.414720552123,1.0309155707786e-05,5.22249699737961e-05,-1.93376015983932
"9636","CDH24",0.019383128688092,0.0109111619343333,6.6208245818289,3.91427032501549e-11,2.96188150022518e-10,10.1710442488826
"9914","LMCD1-AS1",0.0170041917504069,0.0287470275907984,3.12097781257851,0.00181192735989742,0.00700151533990767,-6.79625877133114
"10115","SMARCD3",-0.0152962630658796,0.0195845295231437,-3.91617666818001,9.10618667867067e-05,0.000416047358165054,-4.00419307620212
"10541","C2CD6",-0.0118997934522308,0.01389134498774,-3.35941444405186,0.000786433045229755,0.00320038202006385,-6.02502178378322
"10598","CDH2",-0.0115360957559238,0.0130734197519221,-3.38526380240457,0.00071611482081869,0.00293051414990886,-5.9380143602032
"10749","CDH1",0.0103932258816392,0.00902948591269162,3.10209976055746,0.00193134320040215,0.00742844603593096,-6.85490525665814
"10790","CDH12",-0.0101311206412279,0.0132942648370995,-2.56855932313634,0.0102385729626325,0.0345990221591092,-8.36569949768513
"10818","CD163L1",-0.00998232751490409,0.0208115346099724,-2.49635998197546,0.0125767841751588,0.0417488552144918,-8.5483601178506
"10899","CD86",-0.00948435693553869,0.0124589659165542,-2.70906992512603,0.00676826922564075,0.0236672802070963,-7.99532323905679
"10957","CD247",-0.00912340143936505,0.0100377049231611,-3.2537393820106,0.00114590216281564,0.00456427958006477,-6.37380944169883
"11095","CD300LB",-0.00838702365056064,0.0100773312169583,-3.09744677804638,0.00196186622754654,0.00753476031421101,-6.86930572950042
"11100","CD3D",-0.00836113172235605,0.00966248951788646,-2.58327993120108,0.00981235799530158,0.0333310547550843,-8.32781952367737
"11168","CDH6",0.00796726004009615,0.00253178509544162,4.50376823393268,6.81498651947932e-06,3.51763251444736e-05,-1.53804407039045
"11276","CDH4",-0.00736045837626202,0.0101130217542494,-2.52585266942868,0.0115698481365187,0.0386976159777685,-8.47437280506353
"11376","CD81-AS1",-0.00693927938726736,0.0143664259660822,-2.07880769853751,0.0376816227874757,0.110902627504374,-9.50279762200096
"11460","CD44-AS1",-0.0065544462356253,0.00766296379062862,-2.75490225330938,0.00589042938255202,0.0208325061195078,-7.87025813353312
"11622","CDHR3",-0.00586111927801326,0.00953480800133032,-2.26412467226088,0.0236055198865571,0.073250159675106,-9.10066267032882
"11686","CD19",-0.0055914896330274,0.00926569981123853,-2.11289971936522,0.0346546289374812,0.10294570844418,-9.4313901641914
"11732","CD2",0.00537699933127292,0.00499804252615219,2.77878072134879,0.0054749936009117,0.0194894223679215,-7.80427069166653
"11842","PRCD",-0.00493464496677703,0.00388144003559087,-2.58467928615046,0.00977267655239149,0.033217843099376,-8.32420737777614
"12065","CD27",-0.00392391250500392,0.0035598002605127,-2.44680175238305,0.014444330831845,0.0473470314146837,-8.67073267408317
"12226","CDH10",0.00335136984112892,0.00317895455835495,2.04852099956455,0.0405567040292095,0.118261306897156,-9.56526186965467
"12229","CD14",0.00334352829420555,0.000904467269330016,3.55471659554301,0.000381590170806538,0.00161706400853191,-5.35120277839894
"12323","ABCD2",-0.00297364223119847,0.00240982423176425,-2.05823464618215,0.0396149821133374,0.115815121276137,-9.5453278417784
"12462","CDH5",0.00243436274396772,0.00233253111710427,1.96409101057366,0.0495702095624503,0.140710349014677,-9.73456026956156
"12504","CD5",0.0022392888887265,0.0008188900792673,2.94660603024164,0.00322641269289321,0.0119815270873158,-7.32447159852522
"12589","CD8B2",0.00184207169287622,0.00080899698574517,2.37096370738767,0.0177762996022597,0.0571831905205053,-8.85325687921434
